Date,Open,High,Low,Close,Volume
2001-03-21,77.2832,78.0142,75.7400,75.9837,19004600
2001-03-22,75.8212,76.2138,73.1274,75.2121,28624800
2001-03-23,76.6538,77.6081,75.4693,77.4863,12861700
2001-03-26,78.3121,78.6979,77.6826,78.4745,9943800
2001-03-27,78.2579,80.3088,78.0278,80.0786,12880700
2001-03-28,79.1243,79.1581,77.7706,77.8653,10953300
2001-03-29,77.6352,78.8535,75.9025,78.1632,12060300
2001-03-30,78.2105,78.9821,77.4998,78.9821,9183600
2001-04-02,78.7182,79.4492,77.0260,77.2968,10561000
2001-04-03,77.1479,77.2629,74.4946,74.7180,12836000
2001-04-04,74.8398,75.8754,73.9802,75.0293,14884300
2001-04-05,76.6876,78.1699,76.1461,77.8721,21522800
2001-04-06,77.1546,77.4321,75.8483,76.6876,14937800
2001-04-09,77.1614,77.8315,76.3356,77.5404,9034300
2001-04-10,78.1428,79.6996,77.9533,78.9551,17873600
2001-04-11,80.3968,80.5389,78.6099,79.0092,12722300
2001-04-12,78.7182,80.5051,78.4880,80.4441,9233200
2001-04-16,80.0651,80.4712,79.1311,79.5981,7350000
2001-04-17,79.4018,80.9924,79.2055,80.7217,10924700
2001-04-18,81.9400,85.2837,81.6896,83.9300,32481600
2001-04-19,84.0992,85.1754,83.6457,85.0468,13809900
2001-04-20,84.5391,84.8775,83.6998,84.2684,7626700
2001-04-23,83.6931,83.8555,82.5153,82.7387,8451800
2001-04-24,82.9282,83.6931,81.9671,82.2920,10044700
2001-04-25,82.1837,83.7066,81.8655,83.3682,8249000
2001-04-26,83.7472,84.7557,83.5915,83.7404,10590400
2001-04-27,84.5527,85.1754,84.0653,85.1348,7938700
2001-04-30,85.5882,86.1433,84.3834,85.7304,10766900
2001-05-01,84.6542,86.0620,84.3361,85.9944,10578000
2001-05-02,86.2380,86.4275,85.2837,85.8387,9572900
2001-05-03,85.3716,85.3852,84.0789,84.7489,9926200
2001-05-04,83.6931,86.1974,83.5509,86.1906,12145300
2001-05-07,85.8658,86.2177,85.4393,85.4461,7185200
2001-05-08,85.8658,86.0282,84.9858,85.4055,6952600
2001-05-09,84.7760,85.6559,84.6474,85.0468,9507400
2001-05-10,86.1365,86.2989,85.1280,85.2972,6872400
2001-05-11,85.2837,85.6153,84.2007,84.7083,7734400
2001-05-14,84.5391,84.9046,84.2413,84.8775,7914000
2001-05-15,84.9791,85.6221,84.5053,85.2701,9782200
2001-05-16,84.4985,87.4496,84.3496,87.2804,14909000
2001-05-17,87.3142,88.0452,87.0164,87.4157,11824600
2001-05-18,87.3751,87.8151,86.7051,87.8151,6683100
2001-05-21,87.8828,89.2365,87.4157,89.1079,11531500
2001-05-22,89.2297,89.4057,88.7153,88.9928,8342700
2001-05-23,88.7018,88.7018,87.4834,87.4834,12330800
2001-05-24,87.6323,87.9911,87.0096,87.7406,7902800
2001-05-25,87.7542,87.7880,86.5697,86.7051,7425000
2001-05-29,86.7863,86.8743,85.8928,86.0147,9003900
2001-05-30,85.6830,86.0214,84.6068,84.8099,10041800
2001-05-31,84.8979,85.7981,84.7828,85.2498,9874200
2001-06-01,85.4190,86.0282,84.6880,85.7778,8848300
2001-06-04,85.8251,86.2516,85.3378,86.1906,5623500
2001-06-05,86.2922,87.4699,86.1433,87.1789,9115400
2001-06-06,87.1992,87.1992,86.2042,86.4546,12064900
2001-06-07,85.9944,86.8743,85.9605,86.7660,7355300
2001-06-08,86.4343,86.5494,85.3784,85.9605,8170600
2001-06-11,85.7642,85.9537,84.8843,85.3513,7012200
2001-06-12,84.5120,85.7845,83.9570,85.2024,9364400
2001-06-13,85.3987,85.6762,84.3699,84.4714,7629400
2001-06-14,84.0518,84.1330,82.4070,82.5762,12603000
2001-06-15,82.0709,83.0822,81.7247,82.7089,16821100
2001-06-18,82.5732,83.1094,82.0709,82.3084,11368300
2001-06-19,83.0687,83.4148,82.0573,82.6682,7732300
2001-06-20,82.2609,83.3945,82.1998,83.1026,8787200
2001-06-21,82.9601,84.3787,82.9125,84.0461,12259100
2001-06-22,83.8221,83.8900,82.9193,83.3877,12212000
2001-06-25,83.6796,83.7882,82.4713,82.6207,8406800
2001-06-26,82.0641,83.0754,81.8401,82.5053,8005800
2001-06-27,82.5392,82.9736,82.0709,82.4578,10105100
2001-06-28,82.8107,84.1275,82.7632,82.9125,10269300
2001-06-29,83.3537,84.1751,82.9872,83.2180,9824200
2001-07-02,83.3537,84.3855,83.2316,84.2565,8522200
2001-07-03,84.1547,84.2362,83.5234,84.2362,3303100
2001-07-05,83.5370,83.9307,82.5799,82.5935,5517900
2001-07-06,82.3424,82.4645,80.8083,80.8083,11665900
2001-07-09,81.1070,81.8197,80.9101,81.2495,8339300
2001-07-10,81.6500,81.8876,80.2382,80.2721,8630700
2001-07-11,80.1635,80.6997,79.4779,80.3535,15328600
2001-07-12,81.1138,82.4510,80.9848,82.2609,12002800
2001-07-13,82.0233,83.0279,81.8740,82.9736,10433800
2001-07-16,82.6546,83.0008,81.6500,81.9351,6915300
2001-07-17,81.5889,82.7768,81.3378,82.7021,7469800
2001-07-18,81.8333,82.5664,81.4939,82.1387,7709300
2001-07-19,82.9329,83.4759,81.9690,82.8582,10082900
2001-07-20,82.2338,82.7700,82.0776,82.3627,6705800
2001-07-23,82.6750,82.7293,80.7405,80.7405,8065200
2001-07-24,80.7744,80.9101,79.2471,79.9599,12269000
2001-07-25,80.0413,81.1002,79.7291,80.8423,12088500
2001-07-26,80.8151,82.0301,80.4757,81.6907,12898200
2001-07-27,82.0166,82.3695,81.3921,82.0030,8478800
2001-07-30,82.2609,82.3695,81.6568,82.0301,8547700
